material_ID,Materialkategorie,UUID-Nummer,material_name,ID-Nummer Entsorgung,Entsorgung,Rohdichte (kg/m3),Bezug,Total (UBP) ,Herstellung (UBP) ,Entsorgung (UBP) ,Primärenergie Gesamt Total (kWh oil-eq) ,Primärenergie Gesamt Herstellung (kWh oil-eq),Primärenergie Gesamt Herstellung energetisch genutzt (kWh oil-eq),Primärenergie Gesamt Herstellung stofflich genutzt (kWh oil-eq),Primärenergie Gesamt Entsorgung (kWh oil-eq),Primärenergie erneuerbar Total (kWh oil-eq),Primärenergie erneuerbar Herstellung Total (kwh oil-eq),Primärenergie erneuerbar Herstellung energetisch genutzt (kWh oil-eq),Primärenergie erneuerbar Herstellung stofflich genutzt (kWh oil-eq),Primärenergie Entsorgung (kWh oil-eq),Primärenergie nicht erneuerbar Total (kWh oil-eq),Primärenergie nicht erneuerbar Herstellung Total (kWh oil-eq),Primärenergie nicht erneuerbar Herstellung energetisch genutzt (kWh oil-eq),Primärenergie nicht erneuerbar Herstellung stofflich genutzt (kWh oil-eq),Primärenergie nicht erneuerbar Entsorgung (kWh oil-eq),Treibhausgasemissionen Total (kg CO2-eq),Treibhausgasemissionen Herstellung (kg CO2-eq),Treibhausgasemissionen Entsorgung (kg CO2-eq),Biogener Kohlenstoff im Produkt enthalten (kg C),Kommentar
3.014,Andere Massivbaustoffe,A5A3BA1D-7F7F-4677-9E1C-3545B9DF79BA,Sanitärkeramik,91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",2’000,kg,4’690,4’650,42.7,11.5,11,11,0,0,0.4,0,0,0,0,11.1,11,11,0,0,2.38,2.37,0.0128,0,
3.02,Andere Massivbaustoffe,D3586070-8058-4A67-BC89-68508822DA21,Stampflehm,91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",2’000,kg,80,32,48.2,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.02,0.02,0.00115,0,
3.015,Andere Massivbaustoffe,84E2D4F6-D61F-4EDF-9D13-7DA1543A7887,Tonziegel,91.138,"Entsorgung, Ziegel",1’700,kg,515,480,35.9,1.15,1,1,0,0,0.03,0,0,0,0,1.12,1,1,0,0,0.386,0.373,0.0128,0,
4.008,Mörtel und Putze,FA96A840-32DF-4C9A-935F-19037F653A62,Baukleber/Einbettmörtel mineralisch,91.139,"Entsorgung, Mörtel, Putze",1’400,kg,634,591,42.7,1.7,2,2,0,0,0.17,0,0,0,0,1.53,1,1,0,0,0.406,0.393,0.0129,0,
4.01,Mörtel und Putze,985B3DC3-846D-49CE-9067-8F50B4FE70D7,Baukleber/Einbettmörtel mineralisch Leichtzuschlag,91.139,"Entsorgung, Mörtel, Putze",1’100,kg,639,596,42.7,1.76,2,2,0,0,0.15,0,0,0,0,1.61,2,2,0,0,0.427,0.414,0.0129,0,
4.002,Mörtel und Putze,3A9DAB99-F63E-4DC7-9D95-2789F2A46143,Baukleber/Einbettmörtel organisch,91.139,"Entsorgung, Mörtel, Putze",1’670,kg,1’400,1’350,42.7,4.3,4,4,0,0,0.2,0,0,0,0,4.2,4,4,0,0,0.78,0.77,0.0129,0,
4.017,Mörtel und Putze,BE39AA2B-67C3-4306-AD5D-5261E43D632D,Gips-Kalk-Putz,91.139,"Entsorgung, Mörtel, Putze",925,kg,251,209,42.7,0.74,1,1,0,0,0.06,0,0,0,0,0.68,1,1,0,0,0.158,0.145,0.0129,0,
4.001,Mörtel und Putze,76D9CFC6-6174-4644-829E-1020C95D5322,Gips-/Weissputz,91.139,"Entsorgung, Mörtel, Putze",1’100,kg,242,199,42.7,0.7,1,1,0,0,0.1,0,0,0,0,0.7,1,1,0,0,0.15,0.14,0.0129,0,
4.003,Mörtel und Putze,D4AB5F70-61BE-4668-8A2C-FF1C755A1728,Kunststoffputz (Dispersionsputz),91.139,"Entsorgung, Mörtel, Putze",1’540,kg,1740,1700,42.7,5.44,5,5,1,0,0.24,0,0,0,0,5.2,5,4,1,0,0.972,0.959,0.0129,0,
4.013,Mörtel und Putze,9BD4C9E4-4499-4215-9215-2EF12370ACE6,Kalk-Zement/Zement-Kalk-Putz,91.139,"Entsorgung, Mörtel, Putze",1’550,kg,396,354,42.7,0.85,1,1,0,0,0.14,0,0,0,0,0.72,1,1,0,0,0.264,0.251,0.0129,0,
4.004,Mörtel und Putze,412F0DEF-2F16-4D81-95CF-2A7394086B28,Lehmputz,91.139,"Entsorgung, Mörtel, Putze",1’800,kg,96.5,53.8,42.7,0.191,0,0,0,0,0.019,0,0,0,0,0.173,0,0,0,0,0.033,0.02,0.0129,0,
4.015,Mörtel und Putze,A8D1862B-6EEC-48B6-83BC-8EFACE342122,Leichtputz mineralisch,91.139,"Entsorgung, Mörtel, Putze",1’000,kg,575,533,42.7,1.4,1,1,0,0,0.16,0,0,0,0,1.23,1,1,0,0,0.373,0.36,0.0129,0,
4.011,Mörtel und Putze,868CB13D-7EF0-454B-B4FD-AE2B04538206,Silikatputz (Dispersionssilikatputz),91.139,"Entsorgung, Mörtel, Putze",1’880,kg,1880,1840,42.7,5.77,6,6,0,0,0.28,0,0,0,0,5.49,5,5,0,0,1.08,1.07,0.0129,0,
